BG,Bulgarian,Bulgarisch
CS,Czech,Tschechisch 
DA,Danish,Dänisch
DE,German,Deutsch
EL,Greek,Griechisch
EN-GB,English (British),Englisch (Britisch),
EN-US,English (American),Englisch (US)
ES,Spanish,Spanisch
ET,Estonian,Estnisch
FI,Finnish,Finisch
FR,French,Französisch
HU,Hungarian,Ungarisch
ID,Indonesian,Indonesisch
IT,Italian,Italienisch
JA,Japanese,Japanisch
LT,Lithuanian,Litauisch
LV,Latvian,Lettisch
NL,Dutch,Niederländisch
PL,Polish,Polnisch
PT-PT,Portuguese,Portugiesisch
PT-BR,Portuguese (Brazilian),Portugiesisch (Brasilien)
RO,Romanian,Rumänisch
RU,Russian,Russisch
SK,Slovak,Slowakisch
SL,Slovenian,Slowenisch
SV,Swedish,Schwedisch
TR,Turkish,Türkisch
ZH,Chinese,Chinesisch
